seq,ra,dec,mag,z_best,z_spec,z_phot,z_spec_quality,zphot_l68,zphot_u68,zphot_l95,zphot_u95,snr,m,m_std
1.0,53.092994700000006,-27.9545364,19.58,0.5303,0.5303,0.514,1.0,0.46,0.56,0.41,0.61,471.89,27100000000.0,3880000000.0
3.0,53.1016846,-27.9584789,21.37,0.264,0.2341,0.264,2.0,0.18,0.35,0.1,0.42,95.06,777000000.0,133000000.0
4.0,53.102279700000004,-27.9586506,24.07,0.63,-99.0,0.63,-99.0,0.5,0.79,0.39,1.14,4.1,611000000.0,245000000.0
5.0,53.0905571,-27.9584999,25.21,2.702,-99.0,2.702,-99.0,2.62,2.79,2.5,3.03,14.04,17400000000.0,5040000000.0
6.0,53.0999413,-27.958280600000005,23.58,2.924,-99.0,2.924,-99.0,2.85,2.98,0.36,3.09,21.48,2480000000.0,662000000.0
7.0,53.096149399999995,-27.957591999999998,21.48,0.684,0.684,0.698,1.0,0.65,0.75,0.57,0.81,69.93,5780000000.0,961000000.0
8.0,53.0915375,-27.958362599999997,26.02,1.758,-99.0,1.758,-99.0,1.62,1.92,1.37,2.71,6.29,353000000.0,801000000.0
9.0,53.0895958,-27.9580288,24.59,0.956,-99.0,0.956,-99.0,0.89,1.02,0.82,1.12,15.33,408000000.0,224000000.0
10.0,53.0909615,-27.957832300000003,24.23,1.026,-99.0,1.026,-99.0,0.95,1.11,0.81,2.94,16.48,422000000.0,277000000.0
12.0,53.09562679999999,-27.9574852,23.38,0.508,-99.0,0.508,-99.0,0.44,0.57,0.33,0.63,11.31,519000000.0,187000000.0
13.0,53.093452500000005,-27.9571342,24.19,0.61,-99.0,0.61,-99.0,0.54,0.68,0.46,0.74,18.55,440000000.0,174000000.0
14.0,53.104488399999994,-27.957067499999997,23.75,0.726,-99.0,0.726,-99.0,0.63,0.84,0.53,0.98,23.53,525000000.0,129000000.0
15.0,53.0884476,-27.9569969,25.81,2.188,-99.0,2.188,-99.0,1.42,2.66,1.07,2.9,2.61,6720000000.0,1840000000.0
16.0,53.1041794,-27.956592600000004,25.54,2.682,-99.0,2.682,-99.0,2.46,2.89,2.19,3.09,9.04,3130000000.0,465000000.0
17.0,53.0944595,-27.956289299999998,25.1,2.742,-99.0,2.742,-99.0,2.59,2.86,0.87,3.01,10.47,1980000000.0,933000000.0
18.0,53.10352710000001,-27.956481899999996,23.64,2.761,-99.0,2.761,-99.0,2.7,2.82,2.55,2.88,24.33,11200000000.0,4720000000.0
19.0,53.098285700000005,-27.956081400000002,25.35,1.311,-99.0,1.311,-99.0,1.06,1.63,0.95,1.84,5.6,1300000000.0,407000000.0
20.0,53.102314,-27.9564075,22.47,0.202,0.202,0.305,1.0,0.24,0.37,0.19,0.44,49.0,124000000.0,15200000.0
21.0,53.08557510000001,-27.956403700000003,23.34,1.092,-99.0,1.092,-99.0,1.0,1.19,0.9,1.29,48.56,3990000000.0,485000000.0
22.0,53.0908394,-27.956403700000003,23.4,0.905,-99.0,0.905,-99.0,0.85,0.96,0.78,1.01,40.38,1060000000.0,182000000.0
23.0,53.090526600000004,-27.9561367,24.8,1.3,-99.0,1.3,-99.0,1.06,1.75,0.93,2.32,15.04,1350000000.0,718000000.0
24.0,53.086433400000004,-27.9559193,24.41,2.254,-99.0,2.254,-99.0,1.92,2.43,1.15,2.61,20.24,4850000000.0,1730000000.0
25.0,53.08488079999999,-27.955818199999996,23.58,1.6,-99.0,1.6,-99.0,1.18,1.89,1.01,5.28,28.96,3920000000.0,3110000000.0
26.0,53.088756599999996,-27.955244099999998,24.69,2.519,-99.0,2.519,-99.0,1.92,2.64,0.07,7.68,19.58,1620000000.0,1070000000.0
27.0,53.0959206,-27.955043800000002,23.45,0.612,-99.0,0.612,-99.0,0.56,0.66,0.51,0.72,33.43,572000000.0,83200000.0
28.0,53.0889816,-27.954431500000002,25.54,3.554,-99.0,3.554,-99.0,2.98,4.24,2.65,5.38,6.57,53900000000.0,10800000000.0
29.0,53.0839958,-27.954423900000002,24.55,1.985,-99.0,1.985,-99.0,1.23,2.45,1.02,2.8,18.58,4840000000.0,2050000000.0
30.0,53.0896416,-27.9543228,23.99,0.491,-99.0,0.491,-99.0,0.43,0.57,0.33,2.28,19.39,213000000.0,62600000.0
31.0,53.1038246,-27.9540195,23.8,2.621,2.8146,2.6210000000000004,2.0,2.56,2.68,2.49,2.75,23.16,4800000000.0,718000000.0
33.0,53.08370970000001,-27.9540596,23.12,2.827,-99.0,2.827,-99.0,2.73,2.95,2.46,3.07,44.74,47300000000.0,9300000000.0
34.0,53.0869637,-27.953350099999998,25.36,1.66,-99.0,1.66,-99.0,1.21,2.17,0.95,2.62,6.96,804000000.0,324000000.0
35.0,53.08997339999999,-27.9538174,23.43,0.102,-99.0,0.102,-99.0,0.07,0.41,0.04,8.21,13.53,56600000.0,11800000.0
36.0,53.1021805,-27.9535561,23.57,0.761,-99.0,0.7609999999999999,-99.0,0.68,0.84,0.61,0.92,33.31,744000000.0,116000000.0
37.0,53.08311460000001,-27.9533443,24.95,3.104,-99.0,3.1039999999999996,-99.0,3.0,3.2,2.89,3.39,16.98,3520000000.0,820000000.0
38.0,53.1044846,-27.953239399999998,24.61,1.548,-99.0,1.548,-99.0,1.02,2.31,0.89,2.56,4.56,843000000.0,180000000.0
39.0,53.0992775,-27.953157399999995,24.67,1.704,-99.0,1.704,-99.0,1.61,1.8,1.52,1.91,19.01,1620000000.0,258000000.0
40.0,53.0882645,-27.9542561,21.47,1.086,1.0925,1.0859999999999999,2.0,1.03,1.14,0.97,1.18,155.72,13500000000.0,1580000000.0
41.0,53.1026497,-27.952892300000002,24.84,0.591,-99.0,0.591,-99.0,0.5,0.67,0.42,0.75,10.88,102000000.0,11600000.0
42.0,53.0879936,-27.9528503,25.63,1.889,-99.0,1.889,-99.0,1.76,2.3,1.38,2.69,6.02,2280000000.0,850000000.0
43.0,53.0824814,-27.952669099999998,25.56,1.586,-99.0,1.5859999999999999,-99.0,1.1,2.1,0.82,2.59,5.93,414000000.0,403000000.0
44.0,53.0865936,-27.953025800000002,23.86,1.417,-99.0,1.4169999999999998,-99.0,1.28,1.57,1.18,1.88,28.49,1400000000.0,383000000.0
45.0,53.090229,-27.954099699999997,22.1,7.895,-99.0,7.895,-99.0,1.38,8.08,0.26,9.44,31.25,8430000000.0,3060000000.0
46.0,53.087245900000006,-27.952262899999997,25.79,1.258,-99.0,1.258,-99.0,1.17,1.96,1.1,2.81,11.01,34100000.0,69600000.0
47.0,53.0835419,-27.9521217,24.94,0.622,-99.0,0.622,-99.0,0.23,1.02,0.1,1.43,9.57,139000000.0,70200000.0
49.0,53.0906029,-27.952423100000004,23.35,2.047,-99.0,2.0469999999999997,-99.0,1.95,2.14,1.83,2.24,46.58,11300000000.0,3120000000.0
50.0,53.0876961,-27.9520435,24.39,1.195,-99.0,1.195,-99.0,1.09,1.31,1.02,1.47,26.56,1750000000.0,795000000.0
53.0,53.083602899999995,-27.9526196,21.24,0.653,-99.0,0.653,-99.0,0.54,0.76,0.44,0.86,200.3,9520000000.0,3930000000.0
54.0,53.1061554,-27.951610600000002,23.98,2.055,-99.0,2.055,-99.0,1.98,2.14,1.87,2.25,20.66,1270000000.0,605000000.0
55.0,53.1059341,-27.951660200000003,23.76,1.971,-99.0,1.9709999999999999,-99.0,1.86,2.06,1.67,2.14,20.63,2360000000.0,496000000.0
56.0,53.091033900000006,-27.9513245,25.4,2.735,-99.0,2.735,-99.0,2.64,2.82,2.52,2.92,14.09,1300000000.0,212000000.0
57.0,53.106773399999994,-27.9524364,21.73,0.619,0.619,0.644,1.0,0.59,0.7,0.53,0.75,78.61,3160000000.0,542000000.0
58.0,53.085235600000004,-27.9520359,21.88,1.072,-99.0,1.072,-99.0,1.0,1.14,0.93,1.21,114.31,8310000000.0,2340000000.0
59.0,53.0800858,-27.9510117,25.38,0.929,-99.0,0.929,-99.0,0.82,1.05,0.7,1.84,10.58,146000000.0,51500000.0
60.0,53.0900993,-27.951049800000003,24.38,0.288,-99.0,0.28800000000000003,-99.0,0.23,3.94,0.17,8.06,16.4,81500000.0,39500000.0
61.0,53.0825348,-27.951049800000003,23.99,0.07,-99.0,0.07,-99.0,0.04,0.11,0.02,0.21,21.08,2350000.0,5150000.0
62.0,53.1040459,-27.950580600000006,23.74,0.119,-99.0,0.11900000000000001,-99.0,0.09,0.15,0.05,0.25,33.36,30700000.0,12000000.0
63.0,53.082977299999996,-27.9500999,25.4,1.691,-99.0,1.6909999999999998,-99.0,1.59,1.8,1.5,1.9,13.33,694000000.0,287000000.0
64.0,53.079547899999994,-27.9502716,22.8,0.8232,0.8232,0.8270000000000001,1.0,0.72,0.93,0.62,1.0,77.54,1520000000.0,512000000.0
65.0,53.09551999999999,-27.9497299,24.48,0.525,-99.0,0.525,-99.0,0.45,0.59,0.37,0.66,17.53,155000000.0,16900000.0
66.0,53.0744858,-27.949537300000003,23.7,1.203,-99.0,1.203,-99.0,1.1,1.3,0.99,1.38,20.28,1170000000.0,282000000.0
67.0,53.083526600000006,-27.9493904,25.34,2.051,-99.0,2.051,-99.0,1.76,2.33,1.19,2.49,13.31,1980000000.0,562000000.0
68.0,53.0896606,-27.949361800000002,25.18,2.025,-99.0,2.025,-99.0,1.88,2.16,1.76,2.47,18.98,1940000000.0,947000000.0
69.0,53.0992966,-27.949319800000005,25.84,2.12,-99.0,2.12,-99.0,1.49,2.42,0.18,2.61,8.83,292000000.0,113000000.0
70.0,53.1017761,-27.9491711,25.19,1.388,-99.0,1.3880000000000001,-99.0,1.21,1.55,1.06,1.95,11.64,501000000.0,106000000.0
71.0,53.087390899999995,-27.9491386,26.1,2.31,-99.0,2.31,-99.0,2.08,2.5,1.82,2.64,7.53,1620000000.0,496000000.0
72.0,53.0799141,-27.949308399999996,23.29,1.337,-99.0,1.337,-99.0,1.28,1.4,1.21,1.46,60.53,2330000000.0,568000000.0
73.0,53.0995255,-27.9491539,23.96,1.55,-99.0,1.55,-99.0,1.45,1.65,1.35,1.78,28.05,3990000000.0,456000000.0
74.0,53.08577729999999,-27.9490376,24.08,2.96,-99.0,2.96,-99.0,2.86,3.08,2.63,6.15,26.6,13600000000.0,3920000000.0
75.0,53.09003829999999,-27.9488907,25.26,0.544,-99.0,0.544,-99.0,0.44,0.65,0.29,0.74,11.84,67000000.0,7180000.0
76.0,53.08321,-27.9513283,21.02,1.149,-99.0,1.149,-99.0,1.08,1.22,1.02,1.3,180.6,27000000000.0,10300000000.0
77.0,53.088829000000004,-27.9489136,24.56,3.562,-99.0,3.562,-99.0,3.48,3.64,3.37,3.73,24.58,6510000000.0,1540000000.0
78.0,53.0907669,-27.9487896,24.64,0.911,-99.0,0.9109999999999999,-99.0,0.78,1.05,0.67,1.17,15.61,229000000.0,59800000.0
79.0,53.0905228,-27.9505463,20.52,1.04,0.953,1.04,2.0,0.99,1.09,0.92,1.14,278.69,52800000000.0,8140000000.0
80.0,53.077648200000006,-27.9496555,21.86,1.105,1.0903,1.105,3.0,1.03,1.19,0.94,1.27,79.86,14900000000.0,5430000000.0
81.0,53.07799910000001,-27.948642699999997,25.17,1.703,-99.0,1.703,-99.0,1.34,2.03,1.14,2.37,10.85,1560000000.0,561000000.0
82.0,53.0730247,-27.9485397,24.95,0.691,-99.0,0.691,-99.0,0.44,1.09,0.21,2.72,3.75,139000000.0,45900000.0
